epoch,loss,reward,step
0,3.2624069490339025e-07,-0.011036373674869537,49
0,4.1182261156791355e-07,-0.026222718879580498,99
0,5.185841587262985e-07,-0.07273873686790466,149
1,3.667543978735921e-06,-0.015131160616874695,199
1,3.5634343475976493e-06,-0.027785491198301315,249
1,1.4347767773870146e-06,0.06277845799922943,299
2,6.692951046716189e-07,-0.04241412132978439,349
2,0.0002861282555386424,0.06570491194725037,399
2,4.012985300505534e-06,-0.0031401636078953743,449
2,9.593007632702211e-08,0.007916970178484917,499
