epoch,loss,reward,step
0,1.8079877008858602e-06,-0.0037904083728790283,49
0,1.866501065705961e-06,-0.055735036730766296,99
0,1.87090063263895e-06,0.06008487194776535,149
1,8.896124086277268e-07,0.06416094303131104,199
1,7.22173126632697e-07,-0.07664473354816437,249
1,2.3133853233048285e-07,0.009659664705395699,299
2,1.6718194046916324e-06,0.00855751521885395,349
2,7.726029593868589e-07,0.04542090743780136,399
2,8.393321877520066e-06,-0.09530608355998993,449
2,2.250747911602957e-06,-0.12313888967037201,499
