epoch,loss,reward,step
0,4.825221253668133e-07,-0.11181554943323135,49
0,6.0492302509373985e-06,0.028281304985284805,99
0,5.908713092139806e-07,0.03787912428379059,149
1,1.8423309029458323e-06,-0.028176408261060715,199
1,1.5934506336634513e-06,-0.04327289015054703,249
1,1.2279413567739539e-05,0.0382717065513134,299
2,3.566271971067181e-06,0.0065090470016002655,349
2,0.00043371293577365577,0.05591081827878952,399
2,1.831742906688305e-06,0.0506170392036438,449
2,5.006831997889094e-07,-0.008175746537744999,499
