epoch,loss,reward,step
0,7.142500066947832e-07,-0.013408107683062553,49
0,9.499323994077713e-08,-0.06008487194776535,99
0,4.56536599813262e-06,0.000872274860739708,149
1,4.694530616689008e-06,-0.02245832048356533,199
1,2.6985433123627445e-06,0.04311069846153259,249
1,8.938346809372888e-07,0.006850786507129669,299
2,5.13194299855968e-06,0.014729093760251999,349
2,2.249920271424344e-06,0.13716062903404236,399
2,1.5088494365045335e-06,0.002476802095770836,449
2,2.5375613859068835e-06,0.07262589782476425,499
