epoch,loss,reward,step
0,1.557612995384261e-05,0.037198733538389206,49
0,2.481464662196231e-06,-0.08282730728387833,99
0,1.2656403214350576e-06,0.0442798025906086,149
1,1.7273624735025805e-06,0.017135947942733765,199
1,7.377900601568399e-06,-0.103465735912323,249
1,5.547673936234787e-06,0.027111651375889778,299
2,4.926429255647236e-07,0.036151401698589325,349
2,4.338492999522714e-06,-0.00852793175727129,399
2,2.9570915671683906e-07,0.07483463734388351,449
2,5.571924361902347e-07,-0.05591181293129921,499
