epoch,loss,reward,step
0,1.1185974244654062e-06,0.0009264461696147919,49
0,1.9039838434764533e-06,0.02357706055045128,99
0,1.2781481473211898e-06,-0.026618998497724533,149
1,4.567692485579755e-06,-0.031793512403964996,199
1,8.834040272631682e-07,0.0034163095988333225,249
1,3.1117832577365334e-07,-0.024207983165979385,299
2,9.066639904631302e-06,0.06997239589691162,349
2,9.155560292128939e-07,-0.06360571086406708,399
2,1.0559173233559704e-06,-0.03779759258031845,449
2,7.052287855913164e-07,0.07069507986307144,499
